Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,Date
2022-09-08,2.09626125834523,1.3679591870532881,1.583715790597289,0.7725235809105027,1.6509143832215005,2.340019251650949,10.084367926779748,2022-09-08
2022-09-09,2.135754321065241,1.4043130212420902,1.616886466305231,0.8063209632366773,1.6888471699491452,2.4064234761245284,10.447636052027734,2022-09-09
2022-09-12,2.217998013018722,1.43782172521815,1.6199550382874959,0.8054152857104474,1.7028327677590602,2.4261603702282333,10.612885694665845,2022-09-12
2022-09-13,2.087846857441907,1.336347048967277,1.5243885737456424,0.7299552038636012,1.6092136557076806,2.196339535764888,10.18442353672469,2022-09-13
2022-09-14,2.1077970391691707,1.3545767042764156,1.5343251524887238,0.7220422809171615,1.6106823773505947,2.1958384850833244,10.549783335329316,2022-09-14
2022-09-15,2.06789625603331,1.3306568689354124,1.503784777242371,0.7128897100313207,1.5670018910860979,2.1625524652196506,10.58952725695221,2022-09-15
2022-09-16,2.0452319951199427,1.3016791493840538,1.502177371404733,0.6973496446800137,1.5629149875091963,2.207546433211326,10.575582413266824,2022-09-16
2022-09-19,2.0965321626462394,1.3135864092334382,1.5061227102075279,0.7055963920097106,1.561510157944799,2.238322888523649,10.774996763345623,2022-09-19
2022-09-20,2.129375374631163,1.2875591355370568,1.477920379815921,0.6963962153719266,1.5482909665159712,2.203866473027132,10.763143593016876,2022-09-20
2022-09-21,2.086218074185178,1.2490977825992566,1.4507409440482657,0.6774716877202862,1.52593968627596,2.2180843050504495,10.486682039916161,2022-09-21
2022-09-22,2.072917953033669,1.2361368035721834,1.4633077113633475,0.6808085442686764,1.5389035084314637,2.1009997142669876,10.061009489066109,2022-09-22
2022-09-23,2.0415679672346365,1.1989399618837822,1.4428500426634978,0.6693202979243893,1.5193621858813617,2.0934729366767266,9.598730526628122,2022-09-23
2022-09-26,2.0461821536598133,1.213376163838344,1.434520869758054,0.6500620189044486,1.5163608505170167,2.045300857542334,9.62243793120899,2022-09-26
2022-09-27,2.0596178318821607,1.205578545451101,1.4247305307079832,0.6406711271990645,1.5097194580439017,2.0762448087644594,9.864035779211179,2022-09-27
