Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Date
Ticker,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,78.524169921875,92.9000015258789,72.57191467285156,222.38050842285156,160.40614318847656,6.112873077392578,38.732666015625,79.37395905172454,93.73750305175781,72.94257262840148,223.34681836667303,161.08389517109794,6.195028635711511,39.31999969482422,77.8075426954761,92.7509994506836,72.00845893497106,217.6186996196204,158.16290953582487,6.073039633351887,37.82866668701172,78.55080525794223,93.19999694824219,72.65959425732443,220.59732684034796,160.21523185546806,6.158929858989713,38.37933349609375,216229200,41760000,21566000,33181300,34754500,258848000,267022500,2020-01-29
2020-01-30,78.41036987304688,93.53399658203125,72.44986724853516,208.73265075683594,164.93084716796875,6.119594097137451,42.72066879272461,78.46363314950943,93.64350128173828,72.49968208968686,210.62541439328655,166.14315693787148,6.13303794884411,43.391998291015625,77.17079622640016,92.53050231933594,71.49084223477435,203.97084184341145,163.0312448171451,5.960013412079757,41.20000076293945,77.60416527632543,92.9000015258789,71.64528116546836,205.7440669935625,166.14315693787148,6.015032441667756,42.16133117675781,126743200,126548000,27110000,48775500,51597500,290504000,435085500,2020-01-30
2020-01-31,74.93374633789062,100.43599700927734,71.38024139404297,201.1416473388672,162.49671936035156,5.886072158813477,43.371334075927734,78.12225762194025,102.78600311279297,73.21807678829367,207.89584524233246,164.56813798410553,6.085735070071927,43.53333282470703,74.63837863048332,100.1135025024414,71.09527131841374,200.29487588223674,161.87625364670603,5.844247693801801,42.167999267578125,77.69857485901245,102.57350158691406,73.12790379399927,207.6368249281655,164.38678161524783,6.073785087255353,42.66666793823242,199588400,311346000,43822000,31359900,36142700,370420000,235789500,2020-01-31
2020-02-03,74.72794342041016,100.20999908447266,73.86223602294922,203.41297912597656,166.45819091796875,5.9831671714782715,52.0,75.89730439692568,102.42500305175781,74.04657296301339,204.35936096197258,166.57273484253994,6.002585543127391,52.409332275390625,73.16879052609627,100.01249694824219,72.56743036798406,201.72940780893686,162.6589856761577,5.861676276932812,44.90133285522461,73.67236441660148,100.52999877929688,72.81851903680833,202.66583317112864,162.6876216573005,5.867900089648736,44.91266632080078,173788400,117834000,71636000,15495600,30107000,255564000,705975000,2020-02-03
2020-02-04,77.19499206542969,102.4834976196289,72.00946044921875,209.03150939941406,171.93740844726562,6.152457237243652,59.137332916259766,77.38625661675313,102.98999786376953,73.10199650551328,209.79858347801078,172.43378968983822,6.171627264734755,64.59933471679688,75.93120675854502,100.76850128173828,70.84468413309284,204.4191236550714,168.30049347850374,6.075032093142522,55.59199905395508,76.33794039127015,101.49400329589844,72.46182298123878,205.83371812682873,169.0927895461623,6.125072365542695,58.86399841308594,136616400,105786000,95880000,19628900,36433300,271544000,914082000,2020-02-04
2020-02-05,77.824462890625,101.99349975585938,72.04133605957031,209.31045532226562,171.7273712158203,6.242828845977783,48.97999954223633,78.62582786926725,103.5510025024414,72.9644878939861,211.92048040116524,175.83203072305338,6.283657573028994,56.39866638183594,77.21920188630669,101.5999984741211,71.22579582422557,207.91578891385907,170.3050692993806,6.159428230355004,46.94066619873047,78.32561338698618,103.5510025024414,72.9161630186474,211.70131636545509,175.66975534976305,6.273450272554565,54.88399887084961,118826800,87524000,36376000,12538200,39186300,208220000,726357000,2020-02-05
2020-02-06,78.73480224609375,102.5114974975586,73.53194427490234,210.0476531982422,175.28797912597656,6.329714298248291,49.930667877197266,78.7372256553915,102.81500244140625,73.81043759584276,210.38635573939771,175.46935005173762,6.329714298248291,53.05533218383789,77.53638940614043,101.23999786376953,72.26204969986705,208.54338951128622,171.88015168662866,6.196025064805359,45.79999923706055,78.09565020914057,102.0510025024414,72.33677576359966,209.66909435770106,172.74881529653373,6.277184878977309,46.66133117675781,105425600,63660000,37822000,10567500,27751400,218284000,598212000,2020-02-06
2020-02-07,77.66455841064453,103.96399688720703,73.68836975097656,211.52200317382812,175.53614807128906,6.263491153717041,49.871334075927734,78.48238543817546,104.92649841308594,73.99426007334321,212.01014400454648,177.19710768250593,6.311788732866956,51.31666564941406,77.17192034743294,101.90499877929688,73.0058464103526,209.1311269915593,174.1901987949032,6.23809731682681,48.66666793823242,78.23242636976711,102.09950256347656,73.10448784833639,209.4997293334174,174.5434001454982,6.289631449180732,48.70333480834961,117684000,101906000,28360000,12242500,33529100,189752000,255952500,2020-02-07
2020-02-10,78.03343200683594,106.69550323486328,75.16053771972656,212.2492218017578,180.1276092529297,6.546803951263428,51.41866683959961,78.03343200683594,106.77999877929688,75.17149956935405,212.98641128759692,180.26124865813412,6.547550409885807,54.66600036621094,76.16480809009461,104.24800109863281,73.4935839944387,209.85836081098134,174.9251983541532,6.2811672485299805,50.15999984741211,76.24488890405078,104.25050354003906,73.59471884010038,210.71508878614222,175.24020864476424,6.286146488424555,53.33333206176758,109348800,101124000,38302000,11856400,35844300,529608000,370338000,2020-02-10
2020-02-11,77.56263732910156,107.54000091552734,75.23027801513672,206.4015655517578,176.06117248535156,6.669291019439697,51.62533187866211,78.60373238920275,109.29750061035156,76.21770340309827,210.05759797956097,182.03678492319855,6.78405999782416,52.23400115966797,77.34422769426291,106.80000305175781,75.00061132161902,205.72414530643192,175.16387293112035,6.593110443180264,50.53333282470703,78.53093164624849,107.54499816894531,75.39019785597917,209.3901494088886,181.9890534343469,6.655100706154711,51.25266647338867,94323200,114920000,34852000,25030800,53159900,638556000,175462500,2020-02-11
2020-02-12,79.40457153320312,108.0,75.65724182128906,209.95794677734375,176.31890869140625,6.785055637359619,51.15266799926758,79.409422447038,109.01249694824219,75.74043633057408,210.41620293441636,177.40711962197622,6.79152874495773,52.650001525878906,78.01401820106558,107.7645034790039,75.16103948219266,206.61073265840832,173.5888336107686,6.683232401246555,50.891334533691406,78.01401820106558,108.16000366210938,75.51923806383654,207.0590323427678,177.14938123785024,6.722069622295696,51.858001708984375,113730400,66686000,31042000,13813700,47062900,374644000,180337500,2020-02-12
2020-02-13,78.83912658691406,107.49349975585938,75.39618682861328,212.32891845703125,175.36431884765625,6.741238117218018,53.599998474121094,79.16674472243865,108.51399993896484,76.02191687395778,213.51439247443096,177.76982829589463,6.808456428652822,54.53333282470703,78.47025716819051,107.0999984741211,74.92837735428414,208.38398111516298,174.56246779930643,6.699662462885619,49.0,78.67410664216737,107.24949645996094,75.22729680616945,208.72269883493678,174.7629342027948,6.727047806399006,49.45600128173828,94747600,60636000,22914000,15396600,35295800,528016000,394339500,2020-02-13
2020-02-14,78.85855865478516,106.74349975585938,75.66221618652344,213.36495971679688,176.92984008789062,7.214505195617676,53.33533477783203,79.10851777495836,107.9520034790039,75.72797967828164,214.112105693358,176.98711204957445,7.343464481568788,54.198001861572266,78.34893117896286,106.29450225830078,75.00559231326048,211.8407831406701,174.35248528727305,7.120150822834176,52.366668701171875,78.80759072301922,107.78399658203125,75.45297562350825,213.18565197876964,174.92523403532266,7.151519182292056,52.4813346862793,80113600,52124000,23198000,10741700,23149500,1041924000,235405500,2020-02-14
2020-02-18,77.41460418701172,107.78350067138672,75.69759368896484,216.97117614746094,178.7244110107422,7.383297920227051,57.22666549682617,77.5966134445047,108.30349731445312,76.25158520613671,217.15048387021108,179.17306076378034,7.401721015700728,57.33333206176758,76.34923977828454,106.20549774169922,75.27761496690005,212.5879110046574,177.0730064574597,7.091770169873817,55.490665435791016,76.5312490357775,106.2509994506836,75.4435174707526,212.7373493076717,177.17800990105596,7.111188543663717,56.106666564941406,152531200,58912000,25642000,15609200,27792200,620164000,245725500,2020-02-18
2020-02-19,78.5357894897461,108.51100158691406,75.96810913085938,216.66236877441406,179.26043701171875,7.834653854370117,61.16133117675781,78.76633753940254,109.25499725341797,76.2605518097851,217.48921211553971,180.12189205359857,7.852330012125545,62.98533248901367,77.65729255269991,108.05599975585938,75.77431549389932,215.28761536378062,178.48512455294917,7.505782825682788,60.06800079345703,77.65729255269991,108.38999938964844,76.08418918563441,217.16046607383507,180.00703527611827,7.505782825682788,61.56666564941406,93984000,51224000,22746000,12135100,29997500,694332000,381345000,2020-02-19
2020-02-20,77.73008728027344,107.65499877929688,75.57553100585938,213.76344299316406,176.52288818359375,7.6852803230285645,59.96066665649414,78.78574250032466,108.8395004272461,76.07770834757048,217.93750087545428,179.2317055664298,7.874984785699811,60.79999923706055,77.22288901629881,106.37249755859375,74.94132496189518,212.13964090129903,173.345062600929,7.377819175259486,57.3293342590332,78.29553354521413,108.65350341796875,75.67616412195946,215.69606298454914,178.94454904497888,7.786605423132203,60.79666519165039,100566000,62626000,25962000,13109200,36862400,810052000,264523500,2020-02-20
